,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0
2020-09-23 14:01:00,-0.5,-1.5,-1.5,-1.5,0.5,1.5,1.5,1.5,-0.5,-0.5,0.5,0.5
2020-09-23 14:02:00,-0.6666666666666666,-2.0,-1.3333333333333333,-1.3333333333333333,0.0,2.0,2.0,1.6666666666666667,-1.0,-0.3333333333333333,0.3333333333333333,0.6666666666666666
2020-09-23 14:03:00,-1.0,-2.0,-1.0,-1.25,-0.5,2.5,2.25,1.75,-1.0,0.0,0.5,0.5
2020-09-23 14:04:00,-1.2,-1.8,-0.8,-1.2,-0.8,2.6,2.6,2.0,-1.0,0.2,0.6,0.6
2020-09-23 14:05:00,-1.1666666666666667,-1.5,-0.6666666666666666,-1.3333333333333333,-1.0,2.5,2.6666666666666665,2.0,-0.8333333333333334,0.3333333333333333,0.6666666666666666,0.5
2020-09-23 14:06:00,-1.2857142857142858,-1.1428571428571428,-0.5714285714285714,-1.4285714285714286,-1.1428571428571428,2.2857142857142856,2.857142857142857,2.0,-0.8571428571428571,0.5714285714285714,0.7142857142857143,0.5714285714285714
2020-09-23 14:07:00,-1.375,-0.875,-0.625,-1.5,-1.125,2.0,2.875,1.875,-0.875,0.75,0.625,0.5
2020-09-23 14:08:00,-1.5555555555555556,-0.5555555555555556,-0.6666666666666666,-1.4444444444444444,-1.2222222222222223,1.7777777777777777,3.0,1.8888888888888888,-1.0,0.7777777777777778,0.4444444444444444,0.5555555555555556
2020-09-23 14:09:00,-1.7,-0.2,-0.6,-1.4,-1.4,1.5,3.1,1.9,-1.0,0.7,0.2,0.6
2020-09-23 14:10:00,-1.7272727272727273,0.18181818181818182,-0.6363636363636364,-1.4545454545454546,-1.4545454545454546,1.2727272727272727,3.090909090909091,1.9090909090909092,-1.0909090909090908,0.6363636363636364,0.0,0.5454545454545454
2020-09-23 14:11:00,-1.8333333333333333,0.5,-0.6666666666666666,-1.5,-1.4166666666666667,1.0833333333333333,3.0,2.0,-1.1666666666666667,0.6666666666666666,-0.16666666666666666,0.4166666666666667
2020-09-23 14:12:00,-2.0,0.7692307692307693,-0.7692307692307693,-1.6153846153846154,-1.3846153846153846,1.0,2.8461538461538463,2.076923076923077,-1.1538461538461537,0.6153846153846154,-0.3076923076923077,0.3076923076923077
2020-09-23 14:13:00,-2.142857142857143,0.9285714285714286,-0.8571428571428571,-1.6428571428571428,-1.2857142857142858,0.9285714285714286,2.642857142857143,2.2142857142857144,-1.1428571428571428,0.5714285714285714,-0.5,0.21428571428571427
2020-09-23 14:14:00,-2.2,1.0666666666666667,-0.8666666666666667,-1.6,-1.2,0.8666666666666667,2.533333333333333,2.3333333333333335,-1.1333333333333333,0.5333333333333333,-0.7333333333333333,0.13333333333333333
2020-09-23 14:15:00,-2.1875,1.125,-0.8125,-1.5,-1.125,0.75,2.5,2.4375,-1.125,0.5625,-0.875,0.125
2020-09-23 14:16:00,-2.1176470588235294,1.1764705882352942,-0.7647058823529411,-1.3529411764705883,-1.0588235294117647,0.6470588235294118,2.411764705882353,2.5294117647058822,-1.0588235294117647,0.6470588235294118,-1.0,0.058823529411764705
2020-09-23 14:17:00,-2.111111111111111,1.1666666666666667,-0.7222222222222222,-1.1666666666666667,-1.0555555555555556,0.6111111111111112,2.388888888888889,2.5555555555555554,-0.9444444444444444,0.7777777777777778,-1.1666666666666667,-0.05555555555555555
